Word,Details,Sources,GregMat_Details,Barron_Details,Kaplan_Details,Magoosh_Details,WordSmart_Details,Source_Files
abase,WordSmart I Complete 850 Words: Pronunciation: uh-BAYS; English: to humiliate; Bengali: অপমান করা / নীচু করা; Example: The king tried to abase his enemies by parading them through the streets.,WordSmart I Complete 850 Words,,,,,Pronunciation: uh-BAYS; English: to humiliate; Bengali: অপমান করা / নীচু করা; Example: The king tried to abase his enemies by parading them through the streets.,WordSmart1_Complete_850Words.pdf
abash,"Kaplan 900 + High Frequency GRE: Feel ashamed, embarrassed | WordSmart I Complete 850 Words: Pronunciation: uh-BASH; English: to embarrass; Bengali: বিব্রত করা / লজ্জিত করা; Example: She was abashed when she forgot her speech on stage.",Kaplan 900 + High Frequency GRE; WordSmart I Complete 850 Words,,,"Feel ashamed, embarrassed",,Pronunciation: uh-BASH; English: to embarrass; Bengali: বিব্রত করা / লজ্জিত করা; Example: She was abashed when she forgot her speech on stage.,WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
abate,GregMat Vocab: decrease in intensity; lessen | WordSmart I Complete 850 Words: Pronunciation: uh-BAYT; English: to reduce; Bengali: হ্রাস করা / কমাননা; Example: The storm finally abated after three days.,GregMat Vocab; WordSmart I Complete 850 Words,decrease in intensity; lessen,,,,Pronunciation: uh-BAYT; English: to reduce; Bengali: হ্রাস করা / কমাননা; Example: The storm finally abated after three days.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf
abdicate,Kaplan 900 + High Frequency GRE: To step down from a position of Power | WordSmart I Complete 850 Words: Pronunciation: AB-dih-kayt; English: to step down from a position of power; Bengali: কম্ষতা ছেন়ে ছেওযা / পেতযাগ করা; Example: The king abdicated his throne to marry a commoner.,Kaplan 900 + High Frequency GRE; WordSmart I Complete 850 Words,,,To step down from a position of Power,,Pronunciation: AB-dih-kayt; English: to step down from a position of power; Bengali: কম্ষতা ছেন়ে ছেওযা / পেতযাগ করা; Example: The king abdicated his throne to marry a commoner.,WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
aberrant,"GregMat Vocab: deviating from what is normal or expected | Kaplan 900 + High Frequency GRE: Abnormal | Magoosh GRE 1000 Words: (adjective): markedly different from an accepted norm When the financial director started screaming and throwing food at his co-workers, the police had to come in to deal with his aberrant behavior.",GregMat Vocab; Kaplan 900 + High Frequency GRE; Magoosh GRE 1000 Words,deviating from what is normal or expected,,Abnormal,"(adjective): markedly different from an accepted norm When the financial director started screaming and throwing food at his co-workers, the police had to come in to deal with his aberrant behavior.",,GregMat Vocab.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf; magoosh-gre-1000-words_oct01.pdf
aberration,Magoosh GRE 1000 Words: (noun): a deviation from what is normal or expected Aberrations in climate have become the norm: rarely a week goes by without some meteorological phenomenon making headlines. | WordSmart I Complete 850 Words: Pronunciation: ab-uh-RAY- shun; English: something not typical; Bengali: সা্বভাবিনকর িযবতক্রম / বিচুযবত; Example: His rude behavior was an aberration from his usual kindness.,Magoosh GRE 1000 Words; WordSmart I Complete 850 Words,,,,(noun): a deviation from what is normal or expected Aberrations in climate have become the norm: rarely a week goes by without some meteorological phenomenon making headlines.,Pronunciation: ab-uh-RAY- shun; English: something not typical; Bengali: সা্বভাবিনকর িযবতক্রম / বিচুযবত; Example: His rude behavior was an aberration from his usual kindness.,WordSmart1_Complete_850Words.pdf; magoosh-gre-1000-words_oct01.pdf
abet,"GregMat Vocab: assist or encourage, usually in wrongdoing | WordSmart I Complete 850 Words: Pronunciation: uh-BET; English: to support or encourage someone who has done something wrong; Bengali: অপকনম সেহাযতা করা / উৎসাবহত করা; Example: He was jailed for abetting the criminal.",GregMat Vocab; WordSmart I Complete 850 Words,"assist or encourage, usually in wrongdoing",,,,Pronunciation: uh-BET; English: to support or encourage someone who has done something wrong; Bengali: অপকনম সেহাযতা করা / উৎসাবহত করা; Example: He was jailed for abetting the criminal.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf
abeyance,GregMat Vocab: suspension; temporary suppression | Kaplan 900 + High Frequency GRE: a temporary suspension of activity ; Suspended action | WordSmart I Complete 850 Words: Pronunciation: uh-BAY-unce; English: suspension; Bengali: স্থবগত অিস্থা / বিরবত; Example: The project was held in abeyance until funds arrived.,GregMat Vocab; Kaplan 900 + High Frequency GRE; WordSmart I Complete 850 Words,suspension; temporary suppression,,a temporary suspension of activity ; Suspended action,,Pronunciation: uh-BAY-unce; English: suspension; Bengali: স্থবগত অিস্থা / বিরবত; Example: The project was held in abeyance until funds arrived.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
abhor,GregMat Vocab: detest or regard with deep hatred | WordSmart I Complete 850 Words: Pronunciation: ab-HOR; English: to hate; Bengali: ঘৃণা করা / বিনেষ ছপাষণ করা; Example: She abhors any form of cruelty to animals.,GregMat Vocab; WordSmart I Complete 850 Words,detest or regard with deep hatred,,,,Pronunciation: ab-HOR; English: to hate; Bengali: ঘৃণা করা / বিনেষ ছপাষণ করা; Example: She abhors any form of cruelty to animals.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf
abide,"GregMat Vocab: tolerate, follow, or accept",GregMat Vocab,"tolerate, follow, or accept",,,,,GregMat Vocab.pdf
